dataset,model_type,size,measure,threshold,objective,LB,solution
MMLU-Pro_NOCHUNK,qwen4b,large,correlation,p50,2.0,2,"['id10094', 'id10615']"
GPQA_NOCHUNK,nemotron,large,seuclidean,p80,2.0,2,"['id0', 'id214']"
GPQA_NOCHUNK,qwen4b,large,cosine,p20,1.0,1,['id122']
Omni-MATH_NOCHUNK,qwen8b,large,cosine,p95,2.0,2,"['id189', 'id1654']"
IFEval_CHUNKED,qwen4b,large,correlation,p50,1.0,1,['id1108']
Omni-MATH_CHUNKED,qwen8b,large,cosine,p95,2.0,2,"['id154', 'id2975']"
GPQA_CHUNKED,qwen8b,large,seuclidean,p90,1.0,1,['id201']
GPQA_NOCHUNK,qwen4b,large,correlation,p80,2.0,2,"['id177', 'id218']"
Omni-MATH,bge,small,seuclidean,p90,2.0,2,"['id2196', 'id4346']"
GPQA,gist,small,correlation,p20,2.0,2,"['id1', 'id215']"
IFEval_CHUNKED,qwen8b,large,seuclidean,p80,1.0,1,['id1108']
IFEval,e5,small,cosine,p95,2.0,2,"['id2859', 'id3563']"
MMLU-Pro_NOCHUNK,qwen8b,large,correlation,p20,1.0,1,['id10615']
MMLU-Pro,e5,small,correlation,p95,6.0,6,"['id11680', 'id889', 'id1557', 'id11874', 'id3280', 'id4721']"
GPQA,bge,small,cosine,p80,3.0,3,"['id52', 'id127', 'id286']"
GPQA_CHUNKED,qwen4b,large,seuclidean,p20,1.0,1,['id118']
Omni-MATH_NOCHUNK,qwen8b,large,correlation,p10,1.0,1,['id1085']
IFEval,gist,small,cosine,p95,8.0,8,"['id1738', 'id2311', 'id2571', 'id2577', 'id2685', 'id2859', 'id3156', 'id3414']"
MMLU-Pro,gist,small,cosine,p95,52.0,52,"['id8603', 'id2705', 'id7789', 'id11100', 'id3412', 'id10185', 'id1180', 'id6783', 'id2348', 'id10355', 'id10839', 'id2268', 'id10704', 'id2935', 'id2802', 'id12235', 'id3222', 'id3450', 'id7212', 'id9116', 'id4762', 'id10094', 'id9034', 'id2472', 'id6872', 'id7215', 'id5531', 'id2407', 'id3143', 'id4143', 'id8637', 'id11934', 'id6412', 'id6917', 'id4761', 'id9640', 'id2467', 'id5508', 'id3476', 'id9267', 'id5514', 'id310', 'id3058', 'id9961', 'id3656', 'id4353', 'id7374', 'id3820', 'id1558', 'id9435', 'id6143', 'id4721']"
MMLU-Pro_NOCHUNK,qwen8b,large,correlation,p90,2.0,2,"['id1035', 'id3833']"
GPQA,e5,small,seuclidean,p80,3.0,3,"['id30', 'id229', 'id430']"
IFEval_NOCHUNK,qwen8b,large,cosine,p95,1.0,1,['id1999']
IFEval,gist,small,cosine,p50,2.0,2,"['id1000', 'id2859']"
IFEval_CHUNKED,qwen4b,large,correlation,p20,1.0,1,['id1000']
IFEval_NOCHUNK,qwen8b,large,seuclidean,p90,1.0,1,['id1108']
GPQA_NOCHUNK,qwen8b,large,seuclidean,p10,1.0,1,['id103']
IFEval,bge,small,cosine,p90,3.0,3,"['id1592', 'id2859', 'id3563']"
GPQA,gist,small,cosine,p20,2.0,2,"['id1', 'id215']"
Omni-MATH_NOCHUNK,qwen4b,large,seuclidean,p80,1.0,1,['id3129']
Omni-MATH,gist,small,cosine,p50,2.0,2,"['id2994', 'id3759']"
GPQA_NOCHUNK,qwen4b,large,seuclidean,p10,1.0,1,['id118']
Omni-MATH,bge,small,cosine,p20,1.0,1,['id2480']
Omni-MATH_NOCHUNK,nemotron,large,cosine,p20,1.0,1,['id1002']
IFEval_NOCHUNK,nemotron,large,seuclidean,p50,2.0,2,"['id1000', 'id1592']"
IFEval,bge,small,seuclidean,p95,5.0,5,"['id1999', 'id2225', 'id2859', 'id2880', 'id3563']"
MMLU-Pro,gist,small,cosine,p50,2.0,2,"['id11934', 'id5508']"
IFEval,gist,small,correlation,p80,2.0,2,"['id1122', 'id2859']"
Omni-MATH,bge,small,seuclidean,p50,2.0,2,"['id4346', 'id1001']"
Omni-MATH_NOCHUNK,nemotron,large,correlation,p90,1.0,1,['id134']
IFEval,gist,small,seuclidean,p80,2.0,2,"['id1122', 'id2859']"
Omni-MATH_CHUNKED,nemotron,large,cosine,p20,1.0,1,['id1005']
GPQA_CHUNKED,qwen4b,large,cosine,p80,2.0,2,"['id122', 'id177']"
MMLU-Pro_NOCHUNK,qwen4b,large,correlation,p80,2.0,2,"['id4096', 'id10615']"
GPQA_NOCHUNK,nemotron,large,correlation,p90,2.0,2,"['id257', 'id413']"
IFEval_CHUNKED,qwen8b,large,correlation,p20,1.0,1,['id1000']
Omni-MATH,e5,small,seuclidean,p20,1.0,1,['id124']
Omni-MATH_CHUNKED,nemotron,large,correlation,p80,2.0,2,"['id2829', 'id905']"
