dataset,model_type,size,seed,measure,threshold,objective,solution
GPQA,gist,small,30,cosine,p90,14,"[379, 426, 286, 87, 182, 53, 82, 156, 27, 204, 202, 170, 244, 280]"
Omni-MATH_NOCHUNK,nemotron,large,30,euclidean,p90,1,[906]
IFEval,gist,small,50,cosine,p20,1,[245]
MMLU-Pro,nemotron,large,40,cosine,p90,1,[739]
Omni-MATH,gist,small,50,cosine,p20,2,"[1, 460]"
MMLU-Pro,qwen4b,large,20,cosine,p95,38,"[464, 93, 709, 620, 536, 313, 481, 257, 197, 426, 487, 489, 541, 177, 692, 889, 179, 378, 17, 497, 760, 725, 66, 628, 152, 75, 41, 808, 614, 223, 779, 452, 875, 923, 732, 98, 920, 919]"
Omni-MATH_NOCHUNK,qwen4b,large,10,euclidean,p10,1,[7]
GPQA_CHUNKED,nemotron,large,20,euclidean,p20,1,[16]
GPQA_CHUNKED,qwen8b,large,10,cosine,p80,1,[27]
Omni-MATH_CHUNKED,qwen4b,large,50,euclidean,p95,2,"[5, 24]"
MMLU-Pro,bge,small,10,cosine,p80,3,"[26, 739, 884]"
IFEval_CHUNKED,nemotron,large,30,euclidean,p90,2,"[2, 215]"
Omni-MATH_NOCHUNK,nemotron,large,20,euclidean,p95,1,[906]
MMLU-Pro,nemotron,large,20,euclidean,p20,1,[8]
GPQA_CHUNKED,qwen8b,large,40,correlation,p20,1,[27]
MMLU-Pro,nemotron,large,10,correlation,p50,1,[8]
IFEval_NOCHUNK,qwen8b,large,50,correlation,p80,1,[19]
Omni-MATH_NOCHUNK,nemotron,large,30,correlation,p50,1,[46]
MMLU-Pro,gist,small,10,euclidean,p80,5,"[140, 423, 545, 799, 0]"
IFEval_CHUNKED,qwen8b,large,40,correlation,p20,1,[1]
MMLU-Pro,nemotron,large,30,cosine,p90,1,[739]
IFEval_NOCHUNK,nemotron,large,50,correlation,p10,1,[53]
Omni-MATH_CHUNKED,qwen8b,large,50,correlation,p80,1,[281]
Omni-MATH_CHUNKED,qwen4b,large,40,correlation,p90,2,"[24, 86]"
GPQA,bge,small,20,correlation,p20,1,[214]
GPQA_NOCHUNK,nemotron,large,10,euclidean,p95,20,"[257, 343, 1, 412, 333, 435, 425, 98, 402, 324, 42, 114, 15, 163, 308, 398, 251, 278, 290, 196]"
Omni-MATH_NOCHUNK,qwen4b,large,50,euclidean,p90,2,"[5, 24]"
MMLU-Pro,qwen8b,large,30,correlation,p20,1,[276]
GPQA,bge,small,20,cosine,p50,2,"[1, 443]"
MMLU-Pro,bge,small,30,cosine,p10,1,[22]
GPQA_NOCHUNK,qwen8b,large,10,cosine,p95,1,[343]
GPQA_NOCHUNK,nemotron,large,10,cosine,p90,2,"[257, 412]"
GPQA_CHUNKED,nemotron,large,30,cosine,p90,1,[358]
Omni-MATH_NOCHUNK,qwen8b,large,10,euclidean,p90,1,[281]
IFEval,e5,small,20,euclidean,p20,1,[185]
Omni-MATH_CHUNKED,nemotron,large,20,cosine,p50,1,[900]
GPQA_NOCHUNK,qwen8b,large,10,euclidean,p20,1,[20]
GPQA_CHUNKED,qwen8b,large,40,euclidean,p10,1,[4]
IFEval,e5,small,50,cosine,p50,1,[359]
Omni-MATH,bge,small,20,correlation,p50,2,"[1, 772]"
MMLU-Pro,bge,small,40,cosine,p90,7,"[884, 602, 366, 575, 648, 884, 49]"
IFEval_CHUNKED,nemotron,large,20,correlation,p80,1,[245]
Omni-MATH,gist,small,10,correlation,p95,22,"[68, 157, 279, 346, 449, 553, 580, 789, 0, 0, 4017, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
GPQA_CHUNKED,qwen8b,large,20,correlation,p80,1,[27]
GPQA,bge,small,50,euclidean,p10,1,[17]
IFEval_NOCHUNK,qwen8b,large,50,euclidean,p90,1,[19]
Omni-MATH_CHUNKED,nemotron,large,10,euclidean,p50,1,[32]
Omni-MATH,gist,small,50,euclidean,p20,2,"[1, 460]"
GPQA,e5,small,30,euclidean,p95,20,"[106, 289, 229, 429, 424, 351, 51, 257, 295, 18, 235, 234, 145, 417, 160, 340, 65, 365, 444, 31]"
Omni-MATH,bge,small,40,euclidean,p20,1,[19]
Omni-MATH,gist,small,20,cosine,p95,22,"[12, 68, 157, 346, 449, 553, 580, 789, 0, 0, 4017, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
GPQA_CHUNKED,qwen8b,large,50,cosine,p95,2,"[1, 343]"
MMLU-Pro,qwen8b,large,10,euclidean,p50,1,[56]
IFEval,bge,small,10,euclidean,p10,1,[109]
IFEval_NOCHUNK,qwen4b,large,50,cosine,p50,1,[19]
GPQA,bge,small,20,euclidean,p80,3,"[88, 286, 443]"
GPQA,bge,small,20,cosine,p10,1,[17]
Omni-MATH,gist,small,30,cosine,p50,2,"[11, 773]"
MMLU-Pro,e5,small,40,cosine,p90,3,"[64, 572, 765]"
IFEval,e5,small,40,cosine,p10,1,[37]
GPQA,gist,small,30,cosine,p50,2,"[11, 362]"
IFEval_NOCHUNK,qwen4b,large,40,correlation,p95,1,[227]
GPQA,e5,small,40,euclidean,p20,1,[424]
Omni-MATH_NOCHUNK,qwen8b,large,50,correlation,p50,1,[59]
GPQA_CHUNKED,nemotron,large,10,euclidean,p95,1,[358]
MMLU-Pro,e5,small,50,cosine,p20,1,[5]
MMLU-Pro,bge,small,20,euclidean,p80,3,"[26, 739, 884]"
MMLU-Pro,nemotron,large,50,euclidean,p90,1,[739]
Omni-MATH_NOCHUNK,qwen4b,large,40,correlation,p50,1,[149]
IFEval,bge,small,20,correlation,p80,2,"[109, 359]"
Omni-MATH_NOCHUNK,nemotron,large,10,euclidean,p50,1,[46]
IFEval,gist,small,20,euclidean,p95,6,"[17, 140, 245, 323, 0, 0]"
Omni-MATH_NOCHUNK,qwen4b,large,10,cosine,p95,2,"[296, 648]"
GPQA_NOCHUNK,nemotron,large,30,euclidean,p50,1,[1]
Omni-MATH_CHUNKED,qwen8b,large,30,correlation,p80,1,[281]
IFEval_CHUNKED,qwen8b,large,10,correlation,p90,1,[19]
Omni-MATH_CHUNKED,nemotron,large,40,euclidean,p90,3,"[900, 568, 553]"
IFEval_NOCHUNK,qwen8b,large,20,cosine,p80,1,[19]
GPQA_NOCHUNK,nemotron,large,10,euclidean,p50,1,[1]
Omni-MATH_NOCHUNK,qwen8b,large,20,euclidean,p10,1,[7]
Omni-MATH_NOCHUNK,qwen4b,large,20,cosine,p10,1,[7]
MMLU-Pro,nemotron,large,30,euclidean,p80,1,[221]
Omni-MATH_NOCHUNK,nemotron,large,30,euclidean,p95,1,[906]
GPQA,bge,small,50,correlation,p80,3,"[87, 286, 443]"
IFEval_NOCHUNK,qwen8b,large,30,correlation,p50,1,[19]
MMLU-Pro,e5,small,20,euclidean,p80,2,"[71, 765]"
GPQA,bge,small,40,euclidean,p50,2,"[1, 443]"
GPQA,e5,small,40,correlation,p80,2,"[51, 106]"
MMLU-Pro,gist,small,50,euclidean,p10,2,"[1, 798]"
Omni-MATH,gist,small,10,euclidean,p10,1,[121]
MMLU-Pro,qwen8b,large,20,correlation,p50,1,[829]
Omni-MATH_CHUNKED,nemotron,large,10,euclidean,p90,3,"[900, 568, 553]"
Omni-MATH_CHUNKED,qwen8b,large,50,euclidean,p50,1,[33]
GPQA_NOCHUNK,nemotron,large,50,euclidean,p20,1,[1]
MMLU-Pro,nemotron,large,40,euclidean,p80,1,[221]
GPQA,e5,small,40,euclidean,p80,3,"[93, 229, 429]"
GPQA_CHUNKED,qwen4b,large,10,correlation,p20,1,[182]
Omni-MATH_NOCHUNK,qwen4b,large,10,cosine,p20,1,[7]
GPQA_NOCHUNK,nemotron,large,10,cosine,p20,1,[1]
IFEval_CHUNKED,qwen4b,large,50,correlation,p10,1,[1]
MMLU-Pro,bge,small,50,euclidean,p10,1,[22]
IFEval,bge,small,40,correlation,p90,3,"[109, 359, 494]"
IFEval_CHUNKED,qwen4b,large,20,cosine,p10,1,[1]
GPQA,gist,small,20,cosine,p95,38,"[426, 379, 87, 286, 351, 296, 280, 282, 299, 9, 31, 443, 61, 170, 228, 53, 196, 303, 384, 214, 156, 421, 442, 174, 216, 7, 15, 435, 99, 202, 374, 370, 122, 27, 234, 204, 329, 230]"
IFEval_NOCHUNK,qwen8b,large,40,cosine,p95,1,[185]
Omni-MATH,e5,small,10,cosine,p10,1,[10]
IFEval_CHUNKED,qwen4b,large,40,euclidean,p90,1,[185]
GPQA_NOCHUNK,qwen4b,large,40,correlation,p90,2,"[1, 27]"
GPQA_NOCHUNK,qwen8b,large,30,euclidean,p50,1,[27]
GPQA_NOCHUNK,qwen8b,large,10,correlation,p90,1,[27]
IFEval_NOCHUNK,qwen4b,large,40,euclidean,p95,2,"[7, 227]"
IFEval,gist,small,20,correlation,p20,1,[245]
GPQA_NOCHUNK,qwen4b,large,50,cosine,p50,2,"[201, 301]"
Omni-MATH_NOCHUNK,nemotron,large,30,cosine,p50,1,[46]
IFEval_NOCHUNK,qwen4b,large,20,correlation,p90,1,[185]
IFEval,gist,small,30,euclidean,p10,1,[69]
GPQA_CHUNKED,nemotron,large,20,correlation,p90,1,[358]
MMLU-Pro,nemotron,large,50,euclidean,p50,1,[8]
Omni-MATH_CHUNKED,nemotron,large,30,correlation,p20,1,[32]
MMLU-Pro,qwen8b,large,10,cosine,p95,2,"[620, 626]"
GPQA_CHUNKED,qwen8b,large,10,euclidean,p10,1,[4]
Omni-MATH_NOCHUNK,qwen4b,large,30,euclidean,p10,1,[7]
Omni-MATH_NOCHUNK,nemotron,large,20,euclidean,p80,1,[149]
GPQA_NOCHUNK,qwen8b,large,50,cosine,p90,1,[27]
MMLU-Pro,e5,small,40,cosine,p95,6,"[572, 830, 728, 0, 0, 0]"
IFEval_NOCHUNK,qwen8b,large,20,cosine,p90,1,[185]
IFEval_NOCHUNK,nemotron,large,30,euclidean,p20,1,[109]
IFEval_CHUNKED,qwen4b,large,10,euclidean,p80,1,[19]
GPQA_NOCHUNK,qwen8b,large,30,cosine,p95,1,[343]
Omni-MATH,e5,small,30,correlation,p20,1,[136]
IFEval_CHUNKED,qwen8b,large,50,euclidean,p20,1,[1]
Omni-MATH_CHUNKED,qwen4b,large,20,cosine,p90,2,"[24, 86]"
IFEval,bge,small,20,cosine,p80,2,"[109, 359]"
IFEval,gist,small,10,correlation,p90,3,"[245, 311, 359]"
GPQA_CHUNKED,nemotron,large,10,cosine,p90,1,[358]
IFEval_NOCHUNK,qwen4b,large,20,euclidean,p50,1,[19]
Omni-MATH,e5,small,40,cosine,p20,1,[136]
Omni-MATH,gist,small,40,correlation,p90,9,"[789, 19, 925, 157, 583, 553, 111, 224, 741]"
Omni-MATH_NOCHUNK,nemotron,large,20,cosine,p20,1,[10]
Omni-MATH_NOCHUNK,qwen8b,large,50,correlation,p10,1,[7]
IFEval,e5,small,50,correlation,p95,2,"[494, 359]"
Omni-MATH_NOCHUNK,nemotron,large,10,cosine,p90,1,[906]
Omni-MATH,bge,small,30,cosine,p90,3,"[134, 306, 772]"
MMLU-Pro,qwen8b,large,40,correlation,p90,2,"[626, 620]"
IFEval,e5,small,20,cosine,p50,1,[359]
GPQA,bge,small,30,correlation,p80,3,"[87, 286, 443]"
IFEval_NOCHUNK,qwen4b,large,20,cosine,p20,1,[1]
Omni-MATH_NOCHUNK,qwen4b,large,40,euclidean,p80,1,[149]
GPQA_CHUNKED,qwen4b,large,10,correlation,p10,1,[27]
Omni-MATH_NOCHUNK,nemotron,large,50,cosine,p10,1,[10]
IFEval,bge,small,50,euclidean,p80,2,"[109, 359]"
Omni-MATH,bge,small,40,cosine,p80,2,"[12, 772]"
GPQA,e5,small,50,cosine,p90,6,"[18, 51, 56, 351, 424, 0]"
IFEval,e5,small,40,correlation,p95,2,"[494, 359]"
Omni-MATH_CHUNKED,qwen8b,large,10,euclidean,p80,1,[281]
MMLU-Pro,gist,small,50,correlation,p80,5,"[140, 709, 799, 602, 830]"
GPQA,bge,small,10,cosine,p50,2,"[1, 443]"
Omni-MATH_NOCHUNK,qwen4b,large,20,cosine,p20,1,[7]
Omni-MATH_CHUNKED,nemotron,large,40,euclidean,p20,1,[32]
GPQA_CHUNKED,qwen4b,large,10,cosine,p50,2,"[201, 301]"
IFEval_NOCHUNK,qwen8b,large,20,euclidean,p20,1,[1]
MMLU-Pro,qwen8b,large,40,euclidean,p95,2,"[460, 626]"
GPQA_NOCHUNK,qwen8b,large,20,correlation,p95,1,[343]
MMLU-Pro,nemotron,large,40,correlation,p20,1,[8]
Omni-MATH_NOCHUNK,qwen4b,large,30,correlation,p95,2,"[296, 648]"
GPQA,gist,small,30,euclidean,p10,1,[44]
Omni-MATH,e5,small,20,correlation,p95,6,"[187, 551, 157, 904, 839, 657]"
MMLU-Pro,nemotron,large,20,cosine,p80,1,[221]
GPQA,e5,small,40,correlation,p95,24,"[106, 289, 229, 424, 429, 351, 51, 244, 257, 31, 295, 18, 234, 340, 65, 444, 235, 365, 71, 160, 423, 145, 417, 407]"
Omni-MATH_CHUNKED,qwen8b,large,30,correlation,p95,2,"[1, 281]"
GPQA_CHUNKED,qwen4b,large,50,euclidean,p10,1,[44]
IFEval,gist,small,30,cosine,p10,1,[69]
Omni-MATH_CHUNKED,qwen4b,large,30,euclidean,p90,2,"[5, 24]"
Omni-MATH_NOCHUNK,qwen4b,large,50,euclidean,p50,1,[71]
IFEval_NOCHUNK,qwen8b,large,10,correlation,p90,1,[185]
Omni-MATH,gist,small,50,cosine,p95,22,"[12, 68, 157, 346, 449, 553, 580, 789, 0, 0, 4017, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
GPQA,gist,small,40,cosine,p20,2,"[2, 31]"
Omni-MATH,e5,small,50,euclidean,p20,1,[121]
GPQA_CHUNKED,nemotron,large,20,euclidean,p50,1,[56]
Omni-MATH,e5,small,50,euclidean,p90,3,"[187, 895, 904]"
MMLU-Pro,qwen4b,large,40,euclidean,p90,2,"[13, 705]"
MMLU-Pro,qwen8b,large,20,euclidean,p50,1,[56]
IFEval_CHUNKED,qwen4b,large,10,cosine,p50,1,[19]
Omni-MATH_CHUNKED,nemotron,large,40,correlation,p90,4,"[900, 568, 29, 314]"
Omni-MATH_CHUNKED,nemotron,large,10,correlation,p90,4,"[900, 568, 29, 314]"
MMLU-Pro,e5,small,30,correlation,p80,2,"[71, 765]"
GPQA_CHUNKED,qwen4b,large,30,correlation,p20,1,[182]
MMLU-Pro,e5,small,40,euclidean,p80,2,"[71, 765]"
Omni-MATH_CHUNKED,qwen4b,large,30,cosine,p95,7,"[24, 296, 648, 512, 811, 809, 276]"
GPQA_NOCHUNK,nemotron,large,30,euclidean,p10,1,[1]
IFEval,gist,small,30,euclidean,p90,3,"[245, 282, 359]"
GPQA_CHUNKED,qwen8b,large,40,euclidean,p20,1,[20]
MMLU-Pro,qwen4b,large,50,correlation,p50,2,"[46, 829]"
IFEval,gist,small,20,cosine,p20,1,[245]
GPQA_CHUNKED,qwen4b,large,50,cosine,p95,2,"[27, 177]"
IFEval_CHUNKED,qwen8b,large,20,euclidean,p10,1,[1]
IFEval,gist,small,10,correlation,p80,2,"[20, 359]"
Omni-MATH,bge,small,50,correlation,p90,3,"[134, 306, 772]"
MMLU-Pro,nemotron,large,20,correlation,p10,1,[2]
MMLU-Pro,nemotron,large,50,correlation,p95,2,"[96, 739]"
Omni-MATH,gist,small,10,cosine,p50,2,"[11, 773]"
IFEval_CHUNKED,qwen4b,large,50,correlation,p20,1,[1]
Omni-MATH_NOCHUNK,nemotron,large,50,euclidean,p50,1,[46]
IFEval_NOCHUNK,nemotron,large,50,euclidean,p95,13,"[109, 185, 212, 312, 424, 280, 459, 517, 316, 6, 349, 462, 78]"
IFEval,bge,small,10,correlation,p90,3,"[109, 359, 494]"
GPQA,bge,small,40,euclidean,p80,3,"[88, 286, 443]"
GPQA_NOCHUNK,qwen8b,large,50,euclidean,p20,1,[20]
MMLU-Pro,qwen8b,large,50,euclidean,p80,1,[185]
MMLU-Pro,bge,small,20,cosine,p80,3,"[26, 739, 884]"
IFEval_CHUNKED,qwen8b,large,30,euclidean,p10,1,[1]
Omni-MATH_CHUNKED,qwen4b,large,50,correlation,p90,2,"[24, 86]"
GPQA_CHUNKED,nemotron,large,30,cosine,p10,1,[15]
Omni-MATH_CHUNKED,qwen4b,large,50,correlation,p95,7,"[24, 296, 648, 809, 276, 512, 811]"
IFEval_CHUNKED,qwen4b,large,40,cosine,p95,1,[227]
Omni-MATH_CHUNKED,qwen8b,large,40,cosine,p10,1,[7]
IFEval_CHUNKED,qwen8b,large,20,correlation,p10,1,[1]
MMLU-Pro,qwen4b,large,10,correlation,p80,2,"[8, 829]"
GPQA_NOCHUNK,qwen4b,large,30,cosine,p95,2,"[1, 343]"
Omni-MATH_CHUNKED,qwen4b,large,40,euclidean,p95,2,"[5, 24]"
MMLU-Pro,nemotron,large,40,cosine,p80,1,[221]
MMLU-Pro,gist,small,40,euclidean,p50,2,"[602, 759]"
Omni-MATH_CHUNKED,qwen4b,large,20,euclidean,p20,1,[7]
IFEval,bge,small,40,correlation,p80,2,"[109, 359]"
IFEval,bge,small,30,euclidean,p10,1,[109]
MMLU-Pro,nemotron,large,10,correlation,p95,2,"[96, 739]"
IFEval_NOCHUNK,nemotron,large,10,correlation,p20,1,[109]
MMLU-Pro,gist,small,30,cosine,p50,2,"[1, 709]"
GPQA_NOCHUNK,qwen4b,large,40,euclidean,p10,1,[44]
Omni-MATH,bge,small,10,correlation,p90,3,"[134, 306, 772]"
Omni-MATH_CHUNKED,qwen4b,large,40,cosine,p10,1,[7]
IFEval,e5,small,10,euclidean,p50,1,[359]
Omni-MATH,gist,small,10,cosine,p95,22,"[12, 68, 157, 346, 449, 553, 580, 789, 0, 0, 4017, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
GPQA_NOCHUNK,qwen4b,large,30,correlation,p80,2,"[27, 343]"
IFEval_CHUNKED,qwen4b,large,30,euclidean,p95,2,"[7, 227]"
Omni-MATH_NOCHUNK,nemotron,large,50,correlation,p90,1,[906]
IFEval_NOCHUNK,qwen8b,large,30,euclidean,p10,1,[1]
IFEval_NOCHUNK,qwen8b,large,50,correlation,p10,1,[1]
Omni-MATH,e5,small,50,correlation,p90,3,"[137, 187, 904]"
Omni-MATH_NOCHUNK,qwen8b,large,20,euclidean,p20,1,[7]
IFEval,gist,small,50,cosine,p10,1,[69]
Omni-MATH_CHUNKED,nemotron,large,30,cosine,p95,16,"[900, 568, 854, 352, 729, 2, 381, 456, 447, 962, 964, 859, 967, 562, 838, 314]"
Omni-MATH_NOCHUNK,nemotron,large,20,euclidean,p90,1,[906]
MMLU-Pro,gist,small,40,cosine,p20,2,"[1, 798]"
Omni-MATH_NOCHUNK,qwen4b,large,30,euclidean,p90,2,"[5, 24]"
Omni-MATH_NOCHUNK,qwen4b,large,10,correlation,p80,2,"[15, 24]"
GPQA,gist,small,50,euclidean,p95,31,"[379, 286, 299, 170, 426, 282, 87, 196, 362, 9, 228, 296, 153, 300, 383, 53, 374, 156, 174, 122, 442, 115, 138, 375, 250, 370, 202, 27, 99, 329, 204]"
GPQA_NOCHUNK,qwen4b,large,10,cosine,p50,2,"[201, 301]"
GPQA_NOCHUNK,qwen8b,large,40,correlation,p10,1,[27]
MMLU-Pro,nemotron,large,50,cosine,p10,1,[2]
IFEval_NOCHUNK,nemotron,large,30,euclidean,p80,2,"[6, 109]"
MMLU-Pro,bge,small,50,euclidean,p95,30,"[602, 996, 739, 205, 843, 366, 722, 797, 26, 478, 884, 830, 820, 37, 373, 538, 39, 131, 582, 963, 763, 401, 104, 655, 670, 241, 109, 526, 546, 902]"
IFEval_NOCHUNK,qwen8b,large,10,correlation,p20,1,[1]
GPQA_NOCHUNK,nemotron,large,50,cosine,p90,2,"[257, 412]"
MMLU-Pro,gist,small,10,euclidean,p95,47,"[140, 602, 924, 709, 545, 799, 486, 689, 342, 274, 408, 841, 745, 643, 46, 927, 635, 42, 447, 65, 260, 744, 109, 40, 603, 359, 588, 34, 92, 433, 375, 86, 451, 660, 756, 464, 279, 798, 867, 506, 367, 651, 33, 249, 282, 492, 335]"
IFEval_CHUNKED,qwen8b,large,30,cosine,p80,1,[19]
Omni-MATH,bge,small,40,euclidean,p90,2,"[12, 772]"
GPQA_NOCHUNK,qwen8b,large,50,euclidean,p50,1,[27]
Omni-MATH_NOCHUNK,qwen8b,large,30,euclidean,p80,1,[281]
IFEval_NOCHUNK,qwen8b,large,10,cosine,p10,1,[1]
IFEval,e5,small,30,euclidean,p50,1,[359]
Omni-MATH,gist,small,10,euclidean,p20,2,"[1, 460]"
GPQA,bge,small,20,correlation,p90,10,"[286, 443, 289, 41, 370, 228, 56, 268, 31, 143]"
GPQA,e5,small,10,correlation,p80,2,"[51, 106]"
MMLU-Pro,gist,small,50,euclidean,p90,17,"[799, 140, 213, 260, 867, 486, 506, 602, 321, 874, 646, 867, 335, 352, 1425, 0, 1441226864]"
IFEval_CHUNKED,qwen4b,large,40,cosine,p10,1,[1]
GPQA_CHUNKED,qwen4b,large,30,correlation,p50,2,"[201, 301]"
IFEval_NOCHUNK,nemotron,large,50,cosine,p20,1,[109]
Omni-MATH_NOCHUNK,nemotron,large,20,correlation,p10,1,[10]
IFEval_CHUNKED,qwen4b,large,30,cosine,p95,1,[227]
IFEval,gist,small,20,euclidean,p90,3,"[245, 282, 359]"
GPQA_NOCHUNK,nemotron,large,20,cosine,p80,2,"[1, 257]"
GPQA,bge,small,20,euclidean,p95,38,"[286, 56, 443, 384, 428, 268, 95, 289, 31, 55, 153, 228, 133, 94, 298, 433, 79, 325, 329, 58, 41, 370, 37, 97, 308, 291, 427, 277, 167, 176, 194, 408, 216, 274, 417, 264, 226, 237]"
Omni-MATH_CHUNKED,nemotron,large,40,correlation,p80,2,"[900, 854]"
GPQA_NOCHUNK,qwen4b,large,30,euclidean,p10,1,[44]
GPQA_NOCHUNK,qwen4b,large,20,cosine,p20,1,[122]
Omni-MATH_NOCHUNK,qwen4b,large,10,cosine,p10,1,[7]
GPQA_NOCHUNK,qwen4b,large,30,euclidean,p80,2,"[193, 201]"
GPQA_CHUNKED,qwen4b,large,10,correlation,p95,2,"[27, 177]"
Omni-MATH_CHUNKED,nemotron,large,20,cosine,p95,16,"[900, 568, 854, 352, 729, 2, 381, 456, 447, 962, 964, 859, 967, 562, 838, 314]"
IFEval,bge,small,20,cosine,p90,3,"[222, 494, 196]"
MMLU-Pro,qwen4b,large,50,cosine,p10,1,[9]
GPQA_CHUNKED,qwen4b,large,50,correlation,p95,2,"[27, 177]"
Omni-MATH,gist,small,20,correlation,p50,2,"[11, 773]"
MMLU-Pro,e5,small,50,correlation,p50,2,"[5, 624]"
Omni-MATH_CHUNKED,qwen4b,large,40,correlation,p20,1,[7]
IFEval_CHUNKED,qwen8b,large,20,cosine,p95,1,[185]
IFEval_NOCHUNK,qwen4b,large,30,cosine,p10,1,[1]
Omni-MATH_NOCHUNK,qwen4b,large,50,euclidean,p10,1,[7]
GPQA_NOCHUNK,qwen8b,large,10,cosine,p50,1,[27]
Omni-MATH_NOCHUNK,nemotron,large,50,euclidean,p20,1,[10]
IFEval_NOCHUNK,qwen4b,large,50,correlation,p80,1,[185]
IFEval_NOCHUNK,nemotron,large,40,correlation,p20,1,[109]
Omni-MATH,gist,small,40,correlation,p95,22,"[68, 157, 279, 346, 449, 553, 580, 789, 0, 0, 4017, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Omni-MATH_NOCHUNK,qwen8b,large,40,cosine,p80,1,[281]
IFEval_NOCHUNK,nemotron,large,10,euclidean,p10,1,[53]
Omni-MATH_CHUNKED,qwen8b,large,20,euclidean,p95,1,[281]
GPQA_NOCHUNK,nemotron,large,20,correlation,p10,1,[1]
GPQA_NOCHUNK,qwen8b,large,50,euclidean,p90,1,[201]
GPQA_NOCHUNK,nemotron,large,20,cosine,p90,2,"[257, 412]"
Omni-MATH,gist,small,30,euclidean,p90,7,"[773, 610, 925, 583, 553, 319, 925]"
Omni-MATH_CHUNKED,nemotron,large,30,euclidean,p90,3,"[900, 568, 553]"
IFEval_NOCHUNK,qwen8b,large,50,cosine,p95,1,[185]
Omni-MATH_CHUNKED,qwen8b,large,50,correlation,p50,1,[59]
GPQA_NOCHUNK,qwen8b,large,30,correlation,p20,1,[27]
IFEval_CHUNKED,qwen8b,large,30,cosine,p10,1,[1]
Omni-MATH_NOCHUNK,qwen8b,large,40,euclidean,p50,1,[33]
GPQA_NOCHUNK,nemotron,large,10,correlation,p20,1,[1]
MMLU-Pro,nemotron,large,30,euclidean,p95,2,"[96, 739]"
IFEval_NOCHUNK,nemotron,large,10,euclidean,p95,13,"[109, 185, 212, 312, 424, 280, 459, 517, 316, 6, 349, 462, 78]"
Omni-MATH_NOCHUNK,qwen8b,large,50,cosine,p50,1,[59]
GPQA_CHUNKED,qwen8b,large,30,correlation,p50,1,[27]
IFEval_CHUNKED,qwen4b,large,10,correlation,p50,1,[19]
GPQA_NOCHUNK,qwen8b,large,20,cosine,p50,1,[27]
IFEval,gist,small,20,euclidean,p20,1,[245]
GPQA,e5,small,50,euclidean,p95,20,"[106, 289, 229, 429, 424, 351, 51, 257, 295, 18, 235, 234, 145, 417, 160, 340, 65, 365, 444, 31]"
MMLU-Pro,gist,small,10,euclidean,p20,2,"[1, 798]"
IFEval,gist,small,40,cosine,p80,2,"[20, 359]"
IFEval_CHUNKED,nemotron,large,30,correlation,p80,1,[245]
MMLU-Pro,qwen4b,large,10,euclidean,p20,1,[13]
GPQA,bge,small,10,euclidean,p95,38,"[286, 56, 443, 384, 428, 268, 95, 289, 31, 55, 153, 228, 133, 94, 298, 433, 79, 325, 329, 58, 41, 370, 37, 97, 308, 291, 427, 277, 167, 176, 194, 408, 216, 274, 417, 264, 226, 237]"
IFEval_NOCHUNK,qwen4b,large,20,correlation,p10,1,[1]
IFEval,e5,small,50,euclidean,p90,2,"[44, 494]"
MMLU-Pro,qwen4b,large,30,euclidean,p90,2,"[13, 705]"
IFEval,bge,small,20,cosine,p20,1,[109]
IFEval_CHUNKED,nemotron,large,50,euclidean,p50,1,[15]
IFEval,gist,small,40,cosine,p10,1,[69]
MMLU-Pro,nemotron,large,20,correlation,p80,1,[221]
GPQA_CHUNKED,nemotron,large,20,cosine,p80,1,[358]
IFEval,e5,small,20,euclidean,p90,2,"[44, 494]"
MMLU-Pro,qwen4b,large,50,cosine,p20,1,[13]
Omni-MATH_CHUNKED,nemotron,large,20,correlation,p80,2,"[900, 854]"
IFEval,gist,small,10,euclidean,p20,1,[245]
MMLU-Pro,qwen4b,large,20,euclidean,p50,1,[13]
GPQA_NOCHUNK,qwen4b,large,30,cosine,p50,2,"[201, 301]"
MMLU-Pro,qwen8b,large,30,euclidean,p20,1,[13]
IFEval,bge,small,50,correlation,p90,3,"[109, 359, 494]"
Omni-MATH_NOCHUNK,nemotron,large,10,euclidean,p90,1,[906]
MMLU-Pro,gist,small,20,cosine,p90,15,"[140, 1, 602, 709, 423, 128, 766, 563, 335, 745, 750, 0, 0, 0, 1873]"
GPQA_NOCHUNK,qwen4b,large,40,cosine,p20,1,[122]
GPQA_CHUNKED,nemotron,large,30,correlation,p20,1,[16]
GPQA,e5,small,10,euclidean,p10,1,[18]
GPQA_NOCHUNK,qwen4b,large,40,euclidean,p50,1,[201]
IFEval_NOCHUNK,qwen4b,large,20,euclidean,p95,2,"[7, 227]"
GPQA_NOCHUNK,nemotron,large,40,euclidean,p90,2,"[412, 257]"
IFEval_CHUNKED,nemotron,large,30,cosine,p20,1,[9]
GPQA,bge,small,40,cosine,p80,3,"[87, 286, 443]"
GPQA_NOCHUNK,qwen8b,large,20,correlation,p20,1,[27]
